Track Name,Artist,Album,Release Date,Label
MATHEMATICAL DISRESPECT,Lil Mabu,MATHEMATICAL DISRESPECT,2023-05-05,Lil Mabu
Que Vuelvas,Carin Leon,Que Vuelvas,2022-12-09,BorderKid Records/Sony Music Latin
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,"Big Machine Records, LLC"
Bebe Dame,Fuerza Regida,Bebe Dame,2022-12-16,Rancho Humilde/Street Mob Records
You Proof,Morgan Wallen,You Proof,2022-05-13,Big Loud / Mercury Records / Republic Records
Shallow,Lady Gaga,A Star Is Born Soundtrack,2018-10-05,A Star is Born OST
Hey Mor,Ozuna,Hey Mor,2022-10-06,Aura Music Corp.
Me Porto Bonito,Bad Bunny,Un Verano Sin Ti,2022-05-06,Rimas Entertainment LLC
Rock and A Hard Place,Bailey Zimmerman,Rock and A Hard Place,2022-06-10,Warner Music Nashville/Elektra
Angels Like You,Miley Cyrus,Plastic Hearts,2020-11-27,RCA Records Label
Super,SEVENTEEN,SEVENTEEN 10th Mini Album 'FML',2023-04-24,PLEDIS Entertainment
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,Parlophone UK
Princess Diana (with Nicki Minaj),Ice Spice,Princess Diana (with Nicki Minaj),2023-04-14,10K Projects/Capitol Records
Believer,Imagine Dragons,Evolve,2017-06-23,Kid Ina Korner / Interscope
Yellow,Coldplay,Parachutes,2000-07-10,Parlophone UK
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,Vertigo Berlin
Money Trees,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",2012-10-22,Aftermath
Life Goes On (feat. Luke Combs),Ed Sheeran,Life Goes On (feat. Luke Combs),2023-05-03,Atlantic Records UK
Ojitos Lindos,Bad Bunny,Un Verano Sin Ti,2022-05-06,Rimas Entertainment LLC
Ch y la Pizza,Fuerza Regida,Ch y la Pizza,2022-12-01,Rancho Humilde/Street Mob Records
Sweater Weather,The Neighbourhood,I Love You.,2013-04-19,Columbia
Coco Chanel,Eladio Carrion,3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC
Tití Me Preguntó,Bad Bunny,Un Verano Sin Ti,2022-05-06,Rimas Entertainment LLC
